from_id;to_id;type;duration
103;Retouches ROBOT;FD;0
900;FIN STD 1-2;FD;0
53;55;FDE;0
180;160;FD;0
26;53;FD;0
238;254;FD;0
100;139;FD;0
74;70;FD;0
471;FIN STD 1-2;FD;0
54;69;FD;0
122;61;FD;0
Retouches ROBOT;223;FDE;0
227;FIN STD 1-2;FD;0
224;225;FD;0
122;63;FD;0
342;484;FD;0
136;137;FDE;0
247;248;FDE;0
95;228;FD;0
112;468;FD;0
126;148;FD;0
424;426;DD;0
51;35;FD;0
98;211;FD;0
228;230;FD;0
401;384;FDE;0
103;119;FD;0
241;233;FDETT;0
59;60;FDETT;0
454;259;FD;0
394;395;FD;0
61;62;FDETT;0
193;194;FDETT;0
360;352;FDE;0
442;307;FDE;0
252;238;FD;0
299;303;FD;1200
383;439;FD;0
429;FIN STD 1-2;FD;0
128;381;FDE;0
231;454;FD;0
208;280;FD;0
311;CTRL RETOUCHES STADE 1;FD;0
311;309;FD;0
311;331;FD;0
350;359;FD;0
180;153;FD;0
210;292;FDE;0
381;439;FD;0
189;175;FDE;0
372;343;FD;0
297;298;FDE;0
175;176;FDETT;0
118;61;FD;0
428;429;FDE;0
360;CTRL йquipement bande а doigts REAR + cфtelettes;FD;0
362-B;371;FD;0
375;433;FD;0
43;44;FDETT;0
280;281;FD;0
115;116;FDETT;0
71;76;FD;0
42;47;FDE;0
10;440;FD;0
241;234;FD;0
76;78;FD;0
230;454;FD;0
231;252;FDE;0
403;RMBZ Karmans INF;FD;0
900;305;FDE;0
140;159;FD;0
196;57;FDE;0
139;131;DDE;0
270;436;FDE;0
317;901;FD;0
418;420;FDETT;0
52;39;FD;0
379;444;FDE;0
444;445;FDE;0
78;79;FDE;0
153;155;FDETT;0
190;252;FD;0
41;42;FDETT;0
283;293;FD;0
30;254;FD;0
95;229;FD;0
357;349;FDE;0
36;69;FD;0
123;125;DDE;0
359;361;FD;0
94;106;FD;0
35;36;FDETT;0
277;278;FD;0
344;342;FD;0
69;74;FDE;0
140;179;FDETT;0
95;Retouches ROBOT;FD;0
112;294;FD;0
370;371;FDE;0
454;327;DD;0
266;270;FDETT;0
328;330;FDETT;0
454;262;FD;0
76;135;FD;0
76;83;FD;0
326;328;FD;0
97;210;FD;0
312;472;FD;0
318;FIN STD 1-2;FD;0
76;77;FDE;0
181;182;FDETT;0
170;171;FDETT;0
109;110;FDE;0
301;302;FDE;0
28;56;FD;0
133;134;FDETT;0
437;477;FD;0
314;473;FD;0
248;428;FDE;0
97;242;FD;0
311;324;FD;0
206;209;FDETT;0
263;CTRL AMF;FD;0
275;276;FD;0
116;61;FD;0
388;457;FD;0
315;473;FD;0
215;217;FD;0
243;469;FD;0
384;486;FD;0
360;364;FD;0
180;181;FDE;0
109;292;FD;0
443;FIN STD 1-2;FD;0
76;101;FD;0
19;25;FD;0
457;FIN STD 1-2;FD;0
103;121;FD;0
476;275;FD;0
103;108;FD;0
362-B;405;FD;0
296;CTRL plateau hydraulique + tuyau drainage C28;FD;0
205;206;FDETT;0
76;89;FD;0
375;403;FF;0
76;91;FD;0
94;103;FD;0
347;353;FD;0
422;424;FDETT;0
269;FIN STD 1-2;FD;0
38;69;FD;0
102;121;FD;0
196;205;FD;0
314;315;FDE;0
365;371;FD;0
221;222;FD;0
263;417;FDE;0
40;69;FD;0
349;359;FDE;0
122;59;FD;0
33;69;FD;0
382;439;FD;0
380;FIN STD 1-2;FD;0
394;ARDROX;FD;0
67;68;FD;0
76;85;FD;0
168;169;FDETT;0
348;345;FD;0
292;314;FDE;0
174;187;FDE;0
450;FIN STD 1-2;FD;0
25;69;FD;0
101;139;FD;0
79;249;FD;0
361;365;FD;0
102;119;FD;0
110;314;FD;0
106;117;FD;0
398;397;FDE;0
367;369;FD;0
234;278;FDE;0
96;229;FD;0
273;FIN STD 1-2;FD;0
96;147;FD;0
83;139;FD;0
171;172;FD;0
188;232;FDE;0
116;57;FD;0
98;Retouches ROBOT;FDETT;0
159;171;FD;0
252;199;FD;0
305;FIN STD 1-2;FD;0
359;361;FDE;0
421;423;FDETT;0
81;95;FD;0
304;FIN STD 1-2;FD;0
456;392;FD;300
161;187;FD;0
483;FIN STD 1-2;FD;0
75;73;FD;0
130;287;FD;0
124;312;FD;0
258;CTRL AMF;FD;0
31;149;FDETT;0
420;422;FDETT;0
191;192;FDETT;0
27;53;FD;0
135;136;FDETT;0
452;434;FDE;0
81;139;FD;0
454;417;FD;0
478;FIN STD 1-2;FD;0
358;360;FD;0
102;105;FD;0
179;180;FDETT;0
454;448;FD;0
126;313;FD;0
89;90;FDETT;0
453;FIN STD 1-2;FD;0
103;291;FD;0
104;103;FDETT;0
16;445;FD;0
27;55;FD;0
88;148;FD;0
56;47;FD;0
21;CTRL ANTENNES SUP;FD;0
349;481;FD;0
95;147;FD;0
39;40;FDETT;0
24;32;FD;0
76;102;FD;0
74;75;FDE;0
434;435;FDE;0
11;439;FD;0
88;242;FD;0
22;23;FD;0
432;403;FDE;0
379;384;FD;0
304;378;FDE;0
171;173;FD;0
481;FIN STD 1-2;FD;0
445;FIN STD 1-2;FD;0
RMBZ Karmans SUP;416;FD;0
348;344;FD;0
114;295;FD;0
256;CTRL AMF;FD;0
397;452;FDE;0
455;475;FD;0
92;211;FD;0
433;482;FD;0
110;468;FD;0
23;24;FD;0
260;CTRL AMF;FD;0
55;31;FD;0
38;43;FDE;0
55;45;FD;0
125;126;FDETT;0
76;133;FD;0
37;38;FDETT;0
283;298;FD;0
287;300;FD;0
245;53;FD;0
371;366;FDE;0
116;59;FD;0
104;110;FD;0
400;401;FDETT;0
180;162;FD;0
429;380;FDE;0
479;FIN STD 1-2;FD;0
440;900;FDE;0
100;106;FD;0
316;378;FD;0
432;FIN STD 1-2;FD;0
418;419;DDE;0
309;CTRL antennes INF;FD;0
363;347;FDETT;0
454;326;DD;0
182;467;FD;0
19;245;FD;0
19;33;FD;0
68;454;FD;0
92;148;FD;0
173;175;FD;0
291;469;FD;0
371;367;FD;0
33;34;FDE;0
270;271;FD;0
477;FIN STD 1-2;FD;0
234;454;FD;0
147;454;FD;0
455;388;FD;300
96;144;FD;0
409;RMBZ Karmans SUP;FD;0
111;468;FD;0
171;172;FDE;0
245;55;FD;0
Retouches ROBOT;454;FD;0
403;903;FD;0
76;82;FD;0
407;408;FD;0
264;268;FDETT;0
262;261;FDE;0
100;121;FD;0
53;69;FD;0
24;25;FD;0
164;165;FDETT;0
405;403;FD;0
32;150;FDETT;0
271;FIN STD 1-2;FD;0
162;163;FDETT;0
294;469;FD;0
112;113;FDE;0
261;263;FDE;0
122;57;FD;0
226;220;FDE;0
79;81;FD;0
196;59;FDE;0
302;FIN STD 1-2;FD;0
368;375;FD;1200
165;168;FDETT;0
454;260;FD;0
454;407;FD;0
354;363;FDETT;0
50;69;FD;0
62;65;FDETT;0
54;56;FDE;0
105;113;FD;0
124;148;FD;0
21;33;FD;0
19;29;FD;0
40;41;FDE;0
256;258;FDE;0
139;140;FDETT;0
183;184;FDETT;0
307;ARDROX;FD;0
364;CTRL йquipement bande а doigts REAR + cфtelettes;FD;0
76;100;FD;0
102;81;DDE;0
362;CTRL Refueling / Switch / C33;FD;0
106;112;FD;0
377;FIN STD 1-2;FD;0
311;330;FD;0
63;64;FDETT;0
21;51;FD;0
247;401;FD;0
101;104;FD;0
29;56;FD;0
154;160;DDE;0
91;87;DDE;0
332;FIN STD 1-2;FD;0
17;246;FD;0
378;FIN STD 1-2;FD;0
101;115;FD;0
128;283;FD;0
221;212;FDE;0
306;FIN STD 1-2;FD;0
38;87;FD;0
19;27;FD;0
321;CTRL A866 C20 / C26;FD;0
114;252;FD;0
178;218;DD;0
408;FIN STD 1-2;FD;0
376;433;FD;0
45;46;FDETT;0
99;117;FD;0
316;480;FD;0
311;308;FDE;0
136;113;FD;0
452;453;FD;0
419;421;FDETT;0
36;37;FDE;0
353;366;FD;0
454;900;FD;0
381;382;FDE;0
186;191;FDE;0
93;94;FDETT;0
104;Retouches ROBOT;FD;0
446;FIN STD 1-2;FD;0
345;343;FD;0
303;FIN STD 1-2;FD;0
448;362-B;FD;0
44;69;FD;0
81;82;FDE;0
252;198;FD;0
42;91;FD;0
216;470;FD;0
379;385;FD;0
92;59;FD;0
157;158;FDETT;0
245;56;FD;0
357;350;FDE;0
257;256;FDE;0
190;212;FD;0
362-B;CTRL Refueling / Switch / C33;FD;0
454;437;FD;0
427;428;FD;0
409;439;FDE;0
395;398;FD;0
217;470;FD;0
295;300;FD;0
172;175;FD;0
317;480;FD;0
484;485;FD;0
437;400;FDE;0
201;204;FDETT;0
435;438;FD;0
4;CTRL RECEPTION T12;FD;0
175;190;FD;0
86;141;FD;0
449;450;FD;0
392;324;FDE;0
56;31;FD;0
454;380;FD;0
287;299;FD;0
19;20;FD;0
110;111;FDE;0
56;49;FD;0
427;429;FD;0
417;418;FD;0
76;87;FD;0
355;362;FDETT;0
474;FIN STD 1-2;FD;0
73;80;FD;0
233;234;FDE;0
192;195;FD;0
28;54;FD;0
315;300;FD;0
317;378;FD;0
292;469;FD;0
298;299;FDE;0
166;167;FDETT;0
105;106;FDETT;0
194;195;FDETT;0
272;275;FD;0
235;254;FD;0
9;439;FD;0
87;88;FDETT;0
15;244;FD;0
394;395;FDE;0
82;119;FD;0
113;315;FD;0
216;316;FD;0
159;172;FD;0
297;301;FD;1200
486;FIN STD 1-2;FD;0
296;300;FF;0
430;483;FD;0
311;430;FD;0
262;CTRL AMF;FD;0
346;355;FDE;0
96;98;FDETT;0
319;321;FDE;0
44;45;FDE;0
274;273;FD;0
390;456;FDE;0
352;903;FD;0
84;119;FD;0
107;468;FD;0
94;98;FD;0
129;130;FDETT;0
182;159;FD;0
6;9;FDE;0
901;323;FD;0
52;41;FD;0
439;FIN STD 1-2;FD;0
352;351;FDE;0
294;299;FD;0
365;CTRL йquipement bande а doigts REAR + cфtelettes;FD;0
268;269;FD;0
69;75;FD;0
131;132;FDETT;0
171;189;FD;0
132;133;FDE;0
10;439;FD;0
103;115;FD;0
364;365;FDE;0
158;166;FDETT;0
94;104;FD;0
454;378;FD;0
176;183;FDETT;0
85;86;FDETT;0
9;440;FD;0
311;305;FD;0
225;226;FDETT;0
18;19;FD;0
153;154;DDE;0
ARDROX;407;FD;0
180;159;FD;0
83;97;FD;0
207;208;FDETT;0
152;69;FD;0
301;FIN STD 1-2;FD;0
65;127;FD;760
88;312;FD;0
373;433;FD;0
442;307;FD;0
RMBZ Karmans INF;415;FD;0
196;200;FD;0
353;367;FD;0
173;174;FDE;0
323;480;FD;0
448;362-B;FDE;0
409;416;FD;400
382;440;FD;0
90;144;FD;0
417;443;FDE;0
200;295;DDE;0
435;438;FDE;0
6;FIN STD 1-2;FD;0
224;218;FDE;0
232;454;FD;0
440;FIN STD 1-2;FD;0
217;317;FD;0
70;76;FD;0
199;198;FDE;0
401;479;FD;0
351;903;FD;0
58;123;FD;0
82;96;FD;0
110;252;FD;0
368;377;FD;0
291;297;FD;0
97;96;FDETT;0
407;409;FDE;0
346;355;FD;0
475;FIN STD 1-2;FD;0
96;228;FD;0
454;256;FD;0
213;214;FDETT;0
